accession,description,seq_length
PZ469690.1,"PZ469690.1 Coxsackievirus A6 isolate 441/JN/CHN/2025, complete genome",7424
PZ512711.1,"PZ512711.1 Porcine rotavirus A isolate RVA/Pig/China/JS/2025/G5P[13] nonstructural protein 5 gene, complete cds",616
PZ512712.1,"PZ512712.1 Porcine rotavirus A isolate RVA/Pig/China/JS/2025/G5P[13] structural protein VP3 gene, complete cds",2508
PZ516052.1,"PZ516052.1 Dengue virus type 3 isolate Pool polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10640
PZ520697.1,"PZ520697.1 Porcine rotavirus A isolate RVA/Pig/China/JS/2025/G5P[13] structural protein VP6 gene, complete cds",1227
PZ546417.1,"PZ546417.1 Dengue virus type 3 isolate JX202501 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10637
PZ562431.1,"PZ562431.1 Norovirus GII isolate Hu/ZA/2026/GII.7/LC 149-26 VP1 (ORF2) gene, complete cds",1623
PZ562432.1,"PZ562432.1 Norovirus GII isolate Hu/ZA/2026/GII.4 San_Francisco/LC152-26 VP1 (ORF2) gene, complete cds",1626
PZ562433.1,"PZ562433.1 Norovirus GII isolate Hu/ZA/2026/GII.7/TAD 083-26 VP1 (ORF2) gene, complete cds",1623
PZ573092.1,"PZ573092.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC-COVID-0006/2026, complete genome",29735
PZ573093.1,"PZ573093.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC-COVID-0007/2026, complete genome",29734
PZ573094.1,"PZ573094.1 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC-COVID-0008/2026 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",29741
PZ584204.1,"PZ584204.1 Influenza B virus (B/Oklahoma/USAFSAM-18049/2026) segment 3 polymerase PA (PA) gene, complete cds",2181
PZ584205.1,"PZ584205.1 Influenza B virus (B/Oklahoma/USAFSAM-18049/2026) segment 1 polymerase PB1 (PB1) gene, complete cds",2259
PZ584206.1,"PZ584206.1 Influenza B virus (B/Oklahoma/USAFSAM-18049/2026) segment 2 polymerase PB2 (PB2) gene, complete cds",2313
PZ585077.1,"PZ585077.1 Influenza A virus (A/Wood Duck/Maryland/M58/1998(H9N8)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",865
PZ585078.1,"PZ585078.1 Influenza A virus (A/Wood Duck/Maryland/M58/1998(H9N8)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1002
PZ585079.1,"PZ585079.1 Influenza A virus (A/Wood Duck/Maryland/M58/1998(H9N8)) segment 6 neuraminidase (NA) gene, complete cds",1436
QP068696.1,QP068696.1 JP 2023134488-A/9: RECOMBINANT VIRUS REPLICON SYSTEMS AND USES THEREOF,50
QP076722.1,QP076722.1 JP 2023182596-A/14: Mutant of L1 protein of Human Papillomavirus Type 39,1518
QP076723.1,QP076723.1 JP 2023182596-A/15: Mutant of L1 protein of Human Papillomavirus Type 39,1521
QP598555.1,QP598555.1 JP 2024050766-A/58: Modified viral capsids,42
QP744591.1,QP744591.1 JP 2025525390-A/9: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,436
QP744592.1,QP744592.1 JP 2025525390-A/10: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,439
QP744601.1,QP744601.1 JP 2025525390-A/19: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,528
QP744605.1,QP744605.1 JP 2025525390-A/23: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,546
QP744612.1,QP744612.1 JP 2025525390-A/30: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,592
QP744624.1,QP744624.1 JP 2025525390-A/42: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,608
QP744625.1,QP744625.1 JP 2025525390-A/43: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,608
QP744629.1,QP744629.1 JP 2025525390-A/47: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,610
QP744630.1,QP744630.1 JP 2025525390-A/48: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,610
QP744631.1,QP744631.1 JP 2025525390-A/49: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,612
QP744632.1,QP744632.1 JP 2025525390-A/50: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,613
QP744633.1,QP744633.1 JP 2025525390-A/51: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,613
QP744634.1,QP744634.1 JP 2025525390-A/52: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,614
QP744635.1,QP744635.1 JP 2025525390-A/53: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,614
QP744636.1,QP744636.1 JP 2025525390-A/54: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,614
QP744637.1,QP744637.1 JP 2025525390-A/55: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,614
QP744638.1,QP744638.1 JP 2025525390-A/56: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,614
QP744641.1,QP744641.1 JP 2025525390-A/59: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,618
QP744644.1,QP744644.1 JP 2025525390-A/62: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,621
QP744645.1,QP744645.1 JP 2025525390-A/63: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,621
QP744647.1,QP744647.1 JP 2025525390-A/65: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,630
QP744651.1,QP744651.1 JP 2025525390-A/69: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,636
QP744653.1,QP744653.1 JP 2025525390-A/71: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,637
QP744654.1,QP744654.1 JP 2025525390-A/72: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,638
QP744659.1,QP744659.1 JP 2025525390-A/77: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,651
QP744682.1,QP744682.1 JP 2025525390-A/100: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,702
QP744683.1,QP744683.1 JP 2025525390-A/101: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,705
QP744688.1,QP744688.1 JP 2025525390-A/106: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,708
QP744689.1,QP744689.1 JP 2025525390-A/107: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,708
QP744692.1,QP744692.1 JP 2025525390-A/110: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,709
QP744693.1,QP744693.1 JP 2025525390-A/111: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,709
QP744706.1,QP744706.1 JP 2025525390-A/124: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,746
QP744866.1,QP744866.1 JP 2025525390-A/284: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,306
QP744888.1,QP744888.1 JP 2025525390-A/306: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,321
QP744893.1,QP744893.1 JP 2025525390-A/311: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,327
QP744915.1,QP744915.1 JP 2025525390-A/333: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,353
QP745036.1,QP745036.1 JP 2025525390-A/454: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,415
QP745060.1,QP745060.1 JP 2025525390-A/478: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,433
QP745128.1,QP745128.1 JP 2025525390-A/546: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,520
QP745131.1,QP745131.1 JP 2025525390-A/549: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,523
QP745146.1,QP745146.1 JP 2025525390-A/564: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,531
QP745154.1,QP745154.1 JP 2025525390-A/572: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,534
QP745167.1,QP745167.1 JP 2025525390-A/585: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,546
QP745173.1,QP745173.1 JP 2025525390-A/591: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,550
QP745210.1,QP745210.1 JP 2025525390-A/628: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,576
QP745213.1,QP745213.1 JP 2025525390-A/631: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,578
QP745319.1,QP745319.1 JP 2025525390-A/737: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,624
QP745323.1,QP745323.1 JP 2025525390-A/741: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,625
QP745374.1,QP745374.1 JP 2025525390-A/792: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,655
QP745378.1,QP745378.1 JP 2025525390-A/796: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,657
QP745382.1,QP745382.1 JP 2025525390-A/800: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,663
QP745391.1,QP745391.1 JP 2025525390-A/809: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,667
QP745393.1,QP745393.1 JP 2025525390-A/811: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,671
QP745396.1,QP745396.1 JP 2025525390-A/814: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,672
QP745502.1,QP745502.1 JP 2025525390-A/920: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,727
QP745581.1,QP745581.1 JP 2025525390-A/999: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,742
QP745630.1,QP745630.1 JP 2025525390-A/1048: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,743
QP745633.1,QP745633.1 JP 2025525390-A/1051: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,743
QP745646.1,QP745646.1 JP 2025525390-A/1064: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,744
QP745647.1,QP745647.1 JP 2025525390-A/1065: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,744
QP745648.1,QP745648.1 JP 2025525390-A/1066: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,744
QP745653.1,QP745653.1 JP 2025525390-A/1071: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,744
QP745666.1,QP745666.1 JP 2025525390-A/1084: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,744
QP745690.1,QP745690.1 JP 2025525390-A/1108: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,745
QP745724.1,QP745724.1 JP 2025525390-A/1142: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,746
QP745747.1,QP745747.1 JP 2025525390-A/1165: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,747
QP745770.1,QP745770.1 JP 2025525390-A/1188: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,748
QP745771.1,QP745771.1 JP 2025525390-A/1189: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,748
QP745788.1,QP745788.1 JP 2025525390-A/1206: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,750
QP745799.1,QP745799.1 JP 2025525390-A/1217: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,754
QP745831.1,QP745831.1 JP 2025525390-A/1249: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,809
QP746354.1,QP746354.1 JP 2025525390-A/1772: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,398
QP746596.1,QP746596.1 JP 2025525390-A/2014: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,494
QP747021.1,QP747021.1 JP 2025525390-A/2439: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,803
QP747284.1,QP747284.1 JP 2025525390-A/2702: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,613
QP747286.1,QP747286.1 JP 2025525390-A/2704: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,615
QP747292.1,QP747292.1 JP 2025525390-A/2710: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,622
QP747322.1,QP747322.1 JP 2025525390-A/2740: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,682
QP747329.1,QP747329.1 JP 2025525390-A/2747: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,708
QP747334.1,QP747334.1 JP 2025525390-A/2752: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,717
QP747337.1,QP747337.1 JP 2025525390-A/2755: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,719
QP747339.1,QP747339.1 JP 2025525390-A/2757: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,726
QP747342.1,QP747342.1 JP 2025525390-A/2760: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,729
QP747346.1,QP747346.1 JP 2025525390-A/2764: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,741
QP747347.1,QP747347.1 JP 2025525390-A/2765: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,741
QP747356.1,QP747356.1 JP 2025525390-A/2774: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,750
QP747357.1,QP747357.1 JP 2025525390-A/2775: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,750
QP747389.1,QP747389.1 JP 2025525390-A/2807: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,1000
QP747489.1,QP747489.1 JP 2025525390-A/2907: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,699
QP747572.1,QP747572.1 JP 2025525390-A/2990: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,636
QP747586.1,QP747586.1 JP 2025525390-A/3004: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QP747654.1,QP747654.1 JP 2025525390-A/3072: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QP747680.1,QP747680.1 JP 2025525390-A/3098: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QP747726.1,QP747726.1 JP 2025525390-A/3144: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QP747820.1,QP747820.1 JP 2025525390-A/3238: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,222
QP747821.1,QP747821.1 JP 2025525390-A/3239: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QP747862.1,QP747862.1 JP 2025525390-A/3280: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QP747863.1,QP747863.1 JP 2025525390-A/3281: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QP747874.1,QP747874.1 JP 2025525390-A/3292: CIRCULAR RNA ENCODING CHIMERIC ANTIGEN RECEPTORS TARGETING BCMA,675
QQ206768.1,QQ206768.1 JP 2024542155-A/82: LIPID NANOPARTICLE COMPOSITIONS FOR DELIVERING CIRCULAR POLYNUCLEOTIDES,628
QQ206769.1,QQ206769.1 JP 2024542155-A/83: LIPID NANOPARTICLE COMPOSITIONS FOR DELIVERING CIRCULAR POLYNUCLEOTIDES,674
QQ206770.1,QQ206770.1 JP 2024542155-A/84: LIPID NANOPARTICLE COMPOSITIONS FOR DELIVERING CIRCULAR POLYNUCLEOTIDES,726
QQ688264.1,QQ688264.1 JP 2025157372-A/993: TAU BINDING COMPOUNDS,4683
QQ688265.1,QQ688265.1 JP 2025157372-A/994: TAU BINDING COMPOUNDS,2211
QQ950047.1,QQ950047.1 JP 2023093566-A/42: RECOMBINANT CHIMERIC BOVINE/HUMAN PARAINFLUENZA VIRUS 3 EXPRESSING RSV G AND ITS USE,15
QQ975806.1,QQ975806.1 JP 2023100680-A/98: COMPOSITIONS AND METHODS OF TREATING AMYOTROPHIC LATERAL SCLEROSIS (ALS),4683
QS030946.1,QS030946.1 JP 2025072522-A/26: CIRCULAR RNA COMPOSITIONS AND METHODS,744
QS030951.1,QS030951.1 JP 2025072522-A/31: CIRCULAR RNA COMPOSITIONS AND METHODS,743
QS030987.1,QS030987.1 JP 2025072522-A/67: CIRCULAR RNA COMPOSITIONS AND METHODS,742
QS030988.1,QS030988.1 JP 2025072522-A/68: CIRCULAR RNA COMPOSITIONS AND METHODS,743
QS030989.1,QS030989.1 JP 2025072522-A/69: CIRCULAR RNA COMPOSITIONS AND METHODS,743
QS030990.1,QS030990.1 JP 2025072522-A/70: CIRCULAR RNA COMPOSITIONS AND METHODS,742
QS030991.1,QS030991.1 JP 2025072522-A/71: CIRCULAR RNA COMPOSITIONS AND METHODS,745
QS030992.1,QS030992.1 JP 2025072522-A/72: CIRCULAR RNA COMPOSITIONS AND METHODS,742
QS043767.1,QS043767.1 JP 2025102783-A/4: Recombinant viral vectors and nucleic acids for producing the same,380
QS043896.1,"QS043896.1 JP 2025520771-A/6: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof",130
QS044001.1,"QS044001.1 JP 2025520771-A/111: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof",130
QS044017.1,"QS044017.1 JP 2025520771-A/127: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof",130
QS044019.1,"QS044019.1 JP 2025520771-A/129: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof",130
QS044020.1,"QS044020.1 JP 2025520771-A/130: New regulatory elements for enhancing RNA stability or mRNA translation, ZCCHC2 interacting with the same, and use thereof",130
QS054961.1,"QS054961.1 JP 2025065258-A/47: COMPOSITIONS, METHODS AND KITS TO DETECT RHINOVIRUS NUCLEIC ACIDS",2832
QS253437.1,QS253437.1 JP 2025134707-A/60: COMPOSITIONS AND METHODS REGARDING ENGINEERED AND NON- ENGINEERED GAMMA DELTA-T CELLS FOR TREATMENT OF HEMATOLOGICAL TUMORS,461
QS268498.1,QS268498.1 JP 2025166811-A/7: RNA MOLECULES,1728
QS268500.1,QS268500.1 JP 2025166811-A/9: RNA MOLECULES,1728
QS321171.1,QS321171.1 JP 2025542405-A/312: ENGINEERED GUIDE RNAS AND POLYNUCLEOTIDES,698
S55844.1,"S55844.1 G9R...H7R [variola major virus, India-1967, Genomic, 19 genes, 18029 nt]",18029
S71576.1,"S71576.1 Atypical cytopathic virus UL34 homolog gene, complete cds",2436
S81689.1,"S81689.1 B9R=gamma-interferon receptor-like protein [variola minor virus, low-virulence strain Garcia-1966, GAR, Genomic, 801 nt]",801
U12502.1,"U12502.1 Human papillomavirus type 28 L1 protein gene, My09/My11 region, partial cds",449
U12503.1,"U12503.1 Human papillomavirus type 29 L1 protein gene, My09/My11 region, partial cds",455
U21866.1,"U21866.1 Human papillomavirus type 22 L1 protein gene, partial cds",288
U21873.1,"U21873.1 Human papillomavirus type 36 L1 protein gene, partial cds",288
U23857.1,"U23857.1 Cercopithecine herpesvirus 12 BRRF2-like protein gene, partial cds; EBNA1, BKRF2-like protein, and BKRF3-like protein genes, complete cds; and BKRF4-like protein gene, partial cds",3222
U26342.1,"U26342.1 Simian parvovirus non-structural protein NS1, capsid proteins VP1 and VP2 genes, complete cds",4986
U31780.1,"U31780.1 Human papillomavirus type 22, complete genome",7368
U31782.1,"U31782.1 Human papillomavirus type 24, complete genome",7452
U31783.1,"U31783.1 Human papillomavirus type 28, complete genome",7959
U31784.1,"U31784.1 Human papillomavirus type 29, complete genome",7916
U31785.1,"U31785.1 Human papillomavirus type 36, complete genome",7722
U31786.1,"U31786.1 Human papillomavirus type 37, complete genome",7421
U31789.1,"U31789.1 Human papillomavirus type 48, complete genome",7100
U34991.1,"U34991.1 Human endogenous retrovirus clone c18.4, HERV-H/HERV-E hybrid multiply spliced protease/integrase mRNA, complete cds, and envelope protein mRNA, partial cds",812
U36801.1,"U36801.1 New York hantavirus Rhode Island-1 envelope glycoprotein precursor gene, complete cds",3668
U36802.1,"U36802.1 New York hantavirus New York-1 envelope glycoprotein precursor gene, complete cds",3668
U36803.1,"U36803.1 New York hantavirus New York-2 envelope glycoprotein precursor gene, complete cds",3668
U47136.1,"U47136.1 Prospect Hill virus PH-NY1 nucleocapsid protein gene, complete cds",1675
